state,value
Alabama,0.2209809297658862
Alaska,0.40522124642289253
Arkansas,0.40522124642289253
Arizona,0.355725477037038
California,0.33253358944605055
Colorado,0.38937942019230737
Connecticut,0.21543238631090542
Delaware,0.3006503438914028
District of Columbia,0
Florida,0.5147141185714279
Georgia,0.31342760869565184
Hawaii,0.39038358055152067
Iowa,0.20819706000000332
Idaho,nan
Illinois,0.3027160663567201
Indiana,0.24885166766917233
Kansas,0.2858684999999995
Kentucky,0.27084284374999995
Louisiana,nan
Maine,0.24640383234421329
Maryland,0.21438921348884454
Massachusetts,0.2737458869969038
Michigan,nan
Minnesota,0.2830333653001462
Missouri,0.2697262797833929
Mississippi,nan
Montana,0.2697262797833929
North Carolina,0.2579513468372433
North Dakota,0.17190060670731655
Nebraska,nan
New Hampshire,0.1838528081232484
New Jersey,0.28410827557981017
New Mexico,0.229498055397727
Nevada,0.2677478070175438
New York,nan
Ohio,0.2703102845758379
Oklahoma,0.2393971726862301
Oregon,0.2753863887362638
Pennsylvania,0.17343362030663373
Rhode Island,0.23161779805013852
South Carolina,nan
South Dakota,0.19450819738988492
Tennessee,0.16721855291576634
Texas,0.20761320422334623
Utah,0.3592219920634923
Virginia,0.26772784023285623
Vermont,nan
Washington,0.20347927976190486
Wisconsin,0.40522124642289253
West Virginia,0.40522124642289253
Wyoming,0.40522124642289253
